ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	latency	cort	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1001135	1965	APAP1965	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								12.93	1	1993	60				
1001150	1966	APAP1966	19.8	-155.33333	1948.8951	970	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f				14.7	2.5			17.14	1	1993	1				
1001151	1967	APAP1967	19.8	-155.33333	1948.8951	893	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				17.3	1.5		1	12.91	1	1993	1				
1001166	1968	APAP1968	19.8	-155.33333	1948.8951	586	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				16.4	2		1	18.93	1	1993	1				
1001167	1969	APAP1969	19.8	-155.33333	1948.8951		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								43.43	1	1993	1				
1001168	1970	APAP1970	19.8	-155.33333	1948.8951	725	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m					3			19.18	1	1993	1				
1001178	1971	APAP1971	19.8	-155.33333	1948.8951	945	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				15.8	2.5		1	13.23	1	1993	1				
1001179	1972	APAP1972	19.8	-155.33333	1948.8951	945	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN									5	15.97	2	1993	1		pre-breeding		pre-breeding
1001388	1973	APAP1973	19.8	-155.33333	1948.8951		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								25.05	1	1993	64				
1001409	1974	APAP1974	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								28.73	1	1993	72				
1001641	2819	ARBA2819	30.8667	34.7833	456		Arabian Babbler	ARBA	Turdoides	squamiceps		Turdoides squamiceps 	TURSQU	1								0.5	7.54	5	1994	88				
1002017	1749	ATPU1749	76.53333	-67.16667	37.3	779	Atlantic Puffin	ATPU	Fratercula	arctica		Fratercula arctica 	FRAARC	ATPU-3					390			2	20.4	5	1997	207		breeding		breeding
1002018	1750	ATPU1750	76.53333	-67.16667	37.3	769	Atlantic Puffin	ATPU	Fratercula	arctica		Fratercula arctica 	FRAARC	ATPU-1					485			2.5	13.7	5	1997	207		breeding		breeding
1002019	1751	ATPU1751	76.53333	-67.16667	37.3	773	Atlantic Puffin	ATPU	Fratercula	arctica		Fratercula arctica 	FRAARC	ATPU-2					560			3	8.7	5	1997	207		breeding		breeding
1002020	1752	ATPU1752	76.53333	-67.16667	37.3	790	Atlantic Puffin	ATPU	Fratercula	arctica		Fratercula arctica 	FRAARC	ATPU-5					595			1.5	5.4	5	1997	207		breeding		breeding
1002021	1753	ATPU1753	76.53333	-67.16667	37.3	783	Atlantic Puffin	ATPU	Fratercula	arctica		Fratercula arctica 	FRAARC	ATPU-4					660			1	17.6	5	1997	207		breeding		breeding
1000877	2634	ATSP2634	64.83333	-147.66667	136	559	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-1	m				17.5	2.5		0.5	5.7	5	1992	136				
1000878	2635	ATSP2635	64.83333	-147.66667	136	1007	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-3	f				18	3.5		0.5	9.81	5	1992	136				
1000879	2636	ATSP2636	64.83333	-147.66667	136	984	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-2	m				17.1	2		0.5	5.07	4	1992	136				
1000895	2637	ATSP2637	64.83333	-147.66667	136	564	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-4	f				15.8	2.5		0.5	13.71	5	1992	137				
1000896	2638	ATSP2638	64.83333	-147.66667	136	607	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-6	f				19.7	3		0.5	15.8	5	1992	137				
1000897	2639	ATSP2639	64.83333	-147.66667	136	607	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-5	m				19.5	3		0.5	15.57	5	1992	137				
1000898	2640	ATSP2640	64.83333	-147.66667	136	616	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-7	f				18.6	2.5		0.5	4.89	5	1992	137				
1000899	2641	ATSP2641	64.83333	-147.66667	136	661	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-8	f				15.5	2.5		0.5	10.15	5	1992	137				
1000900	2642	ATSP2642	64.83333	-147.66667	136	971	American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	AMTR-9	m				19.2	2.5		0.5	3.3	5	1992	137				
1001283	2643	ATSP2643	68.62582	-149.59455	729.99598		American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	ATSP	f							0.5	12.6	5	1993	170				
1001336	2644	ATSP2644	68.62582	-149.59455	729.99598		American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB		m							5	39.3	4	1993	174				
1001337	2645	ATSP2645	68.62582	-149.59455	729.99598		American Tree Sparrow	ATSP	Spizella	arborea		Spizella arborea 	SPIARB	ATSP	f							5	30	4	1993	174				
1000707	1085	BASA1085				1248	Baird's Sandpiper	BASA	Calidris	bairdii		Calidris bairdii 	CALBAI						42	3		3	15.53	5	1991	179				
1000158	2794	BBEW2794	36.76163	99.63657	3533		Black-bellied Wren	BBEW	Thryothorus	fasciatoventris		Thryothorus fasciatoventris 	THRFAS	BBWR-1	m							5	10.3	4	1989	185				
1000163	2795	BBRW2795					Buff-breasted Wren	BBRW	Thryothorus	leucotis		Thryothorus leucotis 	THRLET	BUBW-1	f							1	23.7	5	1989	186				
1000576	2816	BBSA2816				1303	Buff-breasted Sandpiper	BBSA	Tryngites	subruficollis		Tryngites subruficollis 	TRYSUB		f				59	3		5	36.59	4	1991	183				
1000650	2817	BBSA2817				1281	Buff-breasted Sandpiper	BBSA	Tryngites	subruficollis		Tryngites subruficollis 	TRYSUB		m				67			5	37.67	2	1991	167				
1000653	2818	BBSA2818				1283	Buff-breasted Sandpiper	BBSA	Tryngites	subruficollis		Tryngites subruficollis 	TRYSUB		m				70	2		5	46.85	3	1991	167				
1001612	2768	BCAP2768	30.8667	34.7833	456	392	Blackcap	BCAP	Sylvia	atricapilla		Sylvia atricapilla 	SYLATR	3	m				14.6	2		2	61.04	3	1994	86	breeding			
